,name
154,stornoway
425,mabaruma
194,zabol
175,koboko
2,saqqez
373,sa kaeo
53,todos santos
145,kaitangata
574,saurimo
181,longyearbyen
581,waingapu
252,maimon
68,touros
52,yatou
463,alta floresta
395,dandong
378,khasan
320,ongandjera
482,pundaguitan
184,balkanabat
255,manoharpur
531,verkh-usugli
458,yaan
559,gonbad-e qabus
371,pangnirtung
513,guilin
483,lazaro cardenas
168,saint george
440,tuni
438,zhuhai
413,olafsvik
505,bubaque
105,maceio
384,sneek
431,shanghai
478,siparia
333,inverness
247,corsicana
318,dargaville
512,gambela
310,poum
134,cananeia
97,kon tum
149,palana
297,samarai
517,ust-nera
35,hithadhoo
381,savonlinna
110,batagay-alyta
535,chicama
286,yar-sale
424,ambatofinandrahana
257,vitim
11,hambantota
313,nizhneyansk
331,shakawe
43,blagoyevo
480,acarau
504,waitati
71,puerto ayora
536,skalistyy
433,casa nova
85,port elizabeth
101,saldanha
486,amapa
231,mount gambier
139,tilichiki
151,isangel
16,voka
457,mehamn
575,garmsar
289,belaya gora
315,zhanatas
164,fevik
423,bathsheba
298,tocopilla
306,surt
197,tiarei
124,bambous virieux
9,saint-pierre
367,suntar
488,jinchang
470,ketchikan
108,upernavik
282,vestmannaeyjar
396,tezu
416,urdzhar
253,umzimvubu
387,semirom
295,hwange
548,liverpool
8,rikitea
155,yellowknife
281,korla
227,buala
390,beringovskiy
270,mrirt
54,belushya guba
348,palaikastron
316,tateyama
566,lensk
355,khandbari
561,asyut
129,morros
474,comodoro rivadavia
147,tuktoyaktuk
89,clonakilty
487,ukiah
568,concarneau
229,surgut
537,otradnoye
444,port macquarie
527,sola
56,carupano
67,maposeni
83,la libertad
360,rancho palos verdes
279,bavaniste
544,ringebu
288,severo-kurilsk
233,barbacoas
380,sentyabrskiy
469,mokshan
534,inongo
25,semey
130,katherine
304,evensk
336,louisbourg
428,terrace bay
342,virginia beach
276,meadow lake
51,barentsburg
337,rongcheng
324,rantepao
314,lata
577,saquarema
426,masuguru
148,zarubino
185,torrington
26,olinda
238,la ronge
571,armstrong
176,tsihombe
188,lebu
123,lompoc
460,alofi
19,mackenzie
6,nanortalik
10,hobart
515,atambua
459,nishihara
541,palasa
377,victor harbor
551,muros
409,coahuayana
410,aklavik
399,chokurdakh
210,vaitupu
88,victoria
225,mar del plata
361,tigil
430,westport
143,ribeira grande
20,yerbogachen
454,aasiaat
532,opuwo
79,pacific grove
213,fortuna
507,broome
69,chuy
117,llangefni
138,antsohihy
495,jacareacanga
120,fairbanks
327,warwick
494,kegayli
45,deputatskiy
570,hokitika
389,banda aceh
273,padang
475,nuuk
383,anadyr
468,jimma
462,guider
95,pisco
1,castro
538,santa isabel do rio negro
224,mericleri
524,izvoarele
189,laguna de perlas
146,bayji
338,palmer
332,vilyuysk
127,itarema
236,marsh harbour
152,lorengau
44,omsukchan
38,fort nelson
573,sao joao do piaui
293,concordia
330,norman wells
153,sitka
37,albany
208,ardistan
222,akdepe
485,togur
455,sambava
133,taoudenni
23,havoysund
177,yeppoon
432,karaul
543,valpacos
113,kodiak
15,massakory
341,llanes
165,mount isa
471,banjarmasin
27,khatanga
32,butaritari
528,port-cartier
266,hofn
167,turayf
72,nikolskoye
325,puerto ayacucho
303,sioux lookout
321,abapo
226,vila velha
64,bluff
223,dobryanka
166,malaya vishera
498,kununurra
519,indi
159,ryotsu
525,kachug
506,harper
104,tiksi
259,talaya
198,katiola
216,marcona
22,formosa
39,christchurch
352,peyima
406,veraval
510,barbastro
249,sorland
162,pandan
4,ponta do sol
334,trairi
201,newport
427,tongchuan
178,saint-philippe
520,smithers
379,shingu
439,novoyegoryevskoye
31,codrington
268,bengkulu
241,kutum
391,wawa
357,birao
93,pevek
244,salta
248,trelew
436,rudbar
182,leningradskiy
307,coronado
199,ascension
402,constitucion
578,namatanai
296,kadykchan
375,otukpo
173,comendador
46,dikson
557,narsaq
405,lat yao
411,nhulunbuy
122,port hedland
328,robertsport
435,port hawkesbury
368,hohhot
96,faanui
509,mnogovershinnyy
263,kodinar
278,namibe
29,esperance
205,camacha
234,lima
125,kamaishi
49,grimari
448,verkhnevilyuysk
499,cap malheureux
109,vila
344,ust-koksa
366,richards bay
446,tukrah
392,grindavik
420,melita
302,hamilton
386,jutai
100,montoro
370,taft
443,leh
284,atar
196,ahuimanu
283,nemuro
540,zanjan
220,samusu
34,bilma
160,hirado
192,hilo
569,woodward
50,manta
261,coquimbo
235,jiuquan
107,amderma
408,kismayo
5,saskylakh
490,tanete
258,kavieng
449,kavaratti
218,gornopravdinsk
451,yulara
209,barrow
452,usinsk
351,thilogne
170,saleaula
30,cape town
417,ostashkov
500,anzhero-sudzhensk
414,tigre
563,burns lake
21,georgetown
62,punta arenas
158,roebourne
362,pinega
363,kahului
492,kempele
526,middlebury
553,kipushi
202,teguldet
335,nguiu
312,kawana waters
47,souillac
180,charters towers
465,bukene
419,jurm
287,salaverry
394,masuda
421,ambagarh chauki
403,luderitz
453,zwedru
111,necochea
28,rungata
309,casas grandes
140,pavlivka
94,fallon
473,atasu
550,acapulco
174,tuatapere
397,tortoli
558,abu jubayhah
285,suoyarvi
132,clearwater
353,myanaung
161,naze
529,sfantu gheorghe
479,poshekhonye
372,tabory
533,bandiagara
112,ambon
466,rawson
422,chauk
299,praia da vitoria
219,puerto escondido
339,novoagansk
347,iqaluit
326,maarianhamina
434,zlitan
567,dunedin
58,torbay
171,palabuhanratu
245,meulaboh
207,coihaique
401,ust-tsilma
90,mahebourg
190,santa rosa
232,attawapiskat
251,curup
142,dungarpur
137,grand gaube
48,mackay
393,muhos
319,hearst
305,kruisfontein
565,whitianga
75,sao luiz gonzaga
407,lolua
511,saint-georges
445,warqla
13,rio grande
7,ushuaia
203,kaeo
502,beeville
516,cookeville
382,tessalit
17,port alfred
141,beyneu
77,tual
398,marawi
206,meiganga
388,chilca
472,talnakh
456,toila
91,bonavista
450,pangai
12,jamestown
60,illoqqortoormiut
429,dunyapur
350,visby
260,burica
491,yarada
228,lubango
14,cidreira
103,petropavlovsk-kamchatskiy
246,bereda
274,orlik
102,bredasdorp
308,arraial do cabo
412,nome
212,carnarvon
40,havre-saint-pierre
169,kampene
441,muleba
186,ancud
242,ostrovnoy
508,port hardy
61,avarua
404,kokopo
82,bethel
78,hermanus
493,bogatoye
271,banjar
240,tabou
262,colac
0,mataura
322,kloulklubed
497,karratha
121,makakilo city
187,shchelyayur
447,riberalta
343,hasaki
300,klaksvik
523,bodden town
115,dapaong
359,mys shmidta
80,manokwari
275,mudkhed
135,chara
340,srednekolymsk
539,ondjiva
562,skeldon
106,kollo
461,lavrentiya
518,saint anthony
311,fez
163,bati
546,kasama
376,malyye derbety
256,cherskiy
552,ormara
116,puerto carreno
63,east london
329,lethem
70,busselton
349,taywarah
76,rovaniemi
118,ailigandi
195,tasiilaq
269,carutapera
514,muyezerskiy
358,villazon
214,ponta delgada
522,caceres
217,lyngseidet
530,geraldton
86,letlhakeng
243,hami
365,zhigansk
345,provideniya
503,guaruja
59,ossora
3,merauke
92,sao filipe
277,adrar
364,mahon
481,iguape
501,yeniseysk
280,tura
156,lalibela
215,krasnokamensk
18,taolanaro
